place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_6042492266,Aims Cafeteria,18.562973,73.810633,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,6042492266,N/A,N/A,N/A,regional,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_12383891002,Alag Aasmaan,18.569705,73.910701,cafe,cafe,"Pratapkumar Path, Pune, 411014",N/A,,food|coffee|casual|hangout,openstreetmap,12383891002,N/A,N/A,Mo-Su 09:00-21:00,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_13598461957,Amruttulya And Alpopahar,18.527259,73.876236,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,13598461957,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_10302188523,Amul,18.44478,73.786691,cafe,ice_cream,"Sinhagad Road, Pune, 411024",N/A,,food|coffee|casual|hangout,openstreetmap,10302188523,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_5832438796,Amul,18.502389,73.804812,cafe,ice_cream,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,5832438796,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_6111011975,Amul,18.540277,73.829692,cafe,ice_cream,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,6111011975,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_10241855446,Amul,18.510885,73.815554,cafe,ice_cream,"Vishwashanti Marg, Pune, 411038",N/A,,food|coffee|casual|hangout,openstreetmap,10241855446,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_5832438797,Amul,18.517919,73.838126,cafe,ice_cream,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,5832438797,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_9975580510,Amul Cafe,18.543956,73.792669,cafe,ice_cream,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,9975580510,N/A,N/A,N/A,N/A,"Foods, dairy and icecream",N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_13666839579,Amul Ice Cream Parlour,18.553883,73.904965,cafe,ice_cream,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,13666839579,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_10108645153,Amul Ice Parlour (कन्हैया Sm Nut'S & Dry Fruits),18.479128,73.830027,cafe,ice_cream,"Hingane Internal Road, Pune, 411051",N/A,,food|coffee|casual|hangout,openstreetmap,10108645153,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_5839779125,Amul Ice-Cream Parlour,18.490608,73.823264,cafe,ice_cream,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,5839779125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_12299360086,Amul Icecream,18.558561,73.931634,cafe,ice_cream,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,12299360086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_859971594,Anies,18.48205,73.90529,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,859971594,N/A,N/A,24/7,regional;chicken;coffee_shop,N/A,N/A,N/A,N/A,False,True,budget,Café / Coffee Shop
OPE_1458945429,Aroma Cafe,18.58444,73.892816,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,1458945429,N/A,N/A,Mo-Su 10:00-22:00,burger;coffee_shop;pizza;ice_cream,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_663592103,Aroma'S,18.538788,73.905203,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,663592103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_11111744793,Aromas Cafe & Bistro,18.554722,73.800054,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,11111744793,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_11218887281,Arun Icecreams,18.509714,73.794729,cafe,ice_cream,411038,N/A,,food|coffee|casual|hangout,openstreetmap,11218887281,N/A,N/A,Mo-Su 09:00-23:00,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_11065644757,Backseat Brews,18.567817,73.909937,cafe,cafe,"Dei Gratia, Viman nagar, Pune, 411014",N/A,,food|coffee|casual|hangout,openstreetmap,11065644757,N/A,+918888437374,Mo-Su 09:00-23:00,coffee_shop;pizza;burger;italian;sandwich;chicken;french;pasta;indian;ice_cream;dessert;chocolate,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_9410145905,Barista,18.553923,73.90395,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,9410145905,N/A,N/A,Mo-Fr 09:00-18:00,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_2183488936,Barista Lavazza,18.515196,73.828691,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,2183488936,http://barista.co.in/,02025662080,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_824469850,Barista Lavazza,18.518197,73.879329,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,824469850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_9090380090,Best Cafe,18.519123,73.875963,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,9090380090,N/A,N/A,Mo-Su 09:00-21:00,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_3983902182,Bhau'S Cafe,18.544066,73.781674,cafe,cafe,"Pashan-Sus Road, Pune, 411021",N/A,,food|coffee|casual|hangout,openstreetmap,3983902182,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_2787986706,Birdy'S Cake Shop,18.503162,73.820021,cafe,cafe,"Karve Road, Pune, 411038",N/A,,food|coffee|casual|hangout,openstreetmap,2787986706,N/A,N/A,N/A,"pastry,cakes",N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_12801991326,Blue Tokai Coffee Roasters,18.524117,73.843734,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,12801991326,N/A,N/A,N/A,coffee_shop;burger,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_11159366024,Bombay Creamery,18.557122,73.793644,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,11159366024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_3269062066,"Bookbar - Artisanal Cafe, Bookstore And Pizzahouse",18.525417,73.841394,cafe,cafe,"Ground Floor, Sanas Memories, 1&2,, Fergusson College Road, Pune, 411003",N/A,,food|coffee|casual|hangout,openstreetmap,3269062066,N/A,N/A,Mo-Su 10:00-23:30,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_2036476888,Brew Brothers,18.477798,73.901632,cafe,cafe,"Narayan Annaji Shinde Road, Pune, 411048",N/A,,food|coffee|casual|hangout,openstreetmap,2036476888,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_10117684095,Brew Culture,18.536593,73.89904,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,10117684095,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_12383884204,Brew Culture,18.566882,73.910695,cafe,cafe,"Viman Nagar Road, Pune, 411014",N/A,,food|coffee|casual|hangout,openstreetmap,12383884204,N/A,N/A,Mo-Su 09:00-21:00,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_13128764752,Brew Hub,18.455635,73.919916,cafe,cafe,"Undri Road, Pune, 411060",N/A,,food|coffee|casual|hangout,openstreetmap,13128764752,N/A,N/A,Mo-Su 17:00-23:00,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_5870770162,Brewbakes Café|Bistro Paud Raod,18.508305,73.822303,cafe,cafe,"ShopNo#2 ,Rokade Heights ,Near Suzuki Showroom, Paud Road, Pune, 411038",N/A,,food|coffee|casual|hangout,openstreetmap,5870770162,N/A,+919011430170,Mo-Su 11:00-23:00,pizza;burger;sandwich;coffee_shop;ice_cream;chicken,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_12422145784,Brewing Bistro,18.552237,73.803948,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,12422145784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_12843844311,Brewing Partners,18.518244,73.835718,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,12843844311,N/A,N/A,N/A,coffee_shop;burger,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_359727408,Buenos Kaffe,18.566922,73.815966,cafe,cafe,"Survey no 10, Chondhe Patil Badminton Hall, Chondhe Patil Road, Near Rohan Nilay Society, Aundh, Pune, 411007",N/A,,food|coffee|casual|hangout,openstreetmap,359727408,N/A,7499903324,Mo-Su 08:00-23:00,italian;pizza;pasta;burger;sandwich;coffee_shop;chicken,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_5302827823,Bun Maska Cafe,18.474172,73.891154,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,5302827823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_9128917148,Cafe  Coffee  Day,18.521609,73.879216,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,9128917148,N/A,N/A,Mo-Su 10:00-22:00,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_12794484463,Cafe A26,18.568236,73.906096,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,12794484463,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_5695637394,Cafe Chocolade,18.459902,73.785979,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,5695637394,N/A,N/A,N/A,sandwich;coffee_shop;burger,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_674921350,Cafe Code Red,18.526295,73.887161,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,674921350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_1563305285,Cafe Cofee Day,18.508647,73.789635,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,1563305285,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_2185567181,Cafe Coffee Day,18.519228,73.830507,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,2185567181,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_2578138779,Cafe Coffee Day,18.508133,73.78282,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,2578138779,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_2785784969,Cafe Coffee Day,18.513701,73.815541,cafe,cafe,"MIT College Road, Rambaug Colony, Kothrud, Pune - 411038",N/A,,food|coffee|casual|hangout,openstreetmap,2785784969,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_3647415344,Cafe Coffee Day,18.507969,73.831526,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,3647415344,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_5832220035,Cafe Coffee Day,18.50811,73.78846,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,5832220035,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_6130922009,Cafe Coffee Day,18.554607,73.80474,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,6130922009,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_6199355630,Cafe Coffee Day,18.555856,73.809409,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,6199355630,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
OPE_667287796,Cafe Coffee Day,18.539582,73.887042,cafe,cafe,N/A,N/A,,food|coffee|casual|hangout,openstreetmap,667287796,N/A,N/A,N/A,coffee_shop,N/A,N/A,N/A,N/A,False,False,budget,Café / Coffee Shop
