place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_10312855910,Aashirwad Complex,18.486572,73.823129,hotel,apartment,N/A,N/A,,accommodation|stay|lodging,openstreetmap,10312855910,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_359573239,Abdul Kalam Hostel (Obh),18.605525,73.876335,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,359573239,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_4826542522,Abhiman Veg,18.540296,73.819312,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,4826542522,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_6479676285,Aditya Shagun Society,18.518631,73.777491,hotel,apartment,"Pashan-Bavdhan Road, 411021",N/A,,accommodation|stay|lodging,openstreetmap,6479676285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_3523422824,Alive,18.575148,73.774032,hotel,apartment,Balewadi,N/A,,accommodation|stay|lodging,openstreetmap,3523422824,http://www.nimaniconstructions.com,+919850838308,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_9935595723,Ambience,18.600285,73.775589,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,9935595723,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_11059324567,Amruta Ladies Hostel,18.638766,73.791386,hotel,hostel,"near, Chinchwad Station Rd, Udyog Nagar, Chinchwad, pune, 411019",N/A,,accommodation|stay|lodging,openstreetmap,11059324567,N/A,08408862882,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_359806744,Annapurna Hotel,18.612381,73.763095,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,359806744,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_10727060080,Apapa Idali Dosa Center,18.612586,73.762636,hotel,hotel,"Shop No, JQ66+VWG, 4, Dange Chowk Rd, Yashoda Colony, Wakad, Pune, Maharashtra 411057",N/A,,accommodation|stay|lodging,openstreetmap,10727060080,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_11811093232,Aquarius Resort & Lawns,18.429128,73.755658,hotel,hotel,"Sinhagad Road, Pune, 411025",N/A,,accommodation|stay|lodging,openstreetmap,11811093232,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_1203979551,Ashiyana Lodge,18.591393,73.740975,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,1203979551,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_11805017443,"Aura Celestia - Bar, Kitchen & Celebration",18.460455,73.786293,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,11805017443,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_10727010717,Balaji Pg,18.598256,73.764358,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,10727010717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_10727278001,Balaji Pg,18.597903,73.765136,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,10727278001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_3754528429,Bhakti Apartment,18.537304,73.782883,hotel,apartment,N/A,N/A,,accommodation|stay|lodging,openstreetmap,3754528429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_11126426277,Bhakti Pg Apartment,18.585051,73.740192,hotel,hostel,"Sakhare Vasti Road, Hinjewadi, 411057",N/A,,accommodation|stay|lodging,openstreetmap,11126426277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_3698265726,Bhalchandra,18.509302,73.816285,hotel,apartment,N/A,N/A,,accommodation|stay|lodging,openstreetmap,3698265726,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_3736424926,Bharat Vihar,18.501441,73.827137,hotel,apartment,N/A,N/A,,accommodation|stay|lodging,openstreetmap,3736424926,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_1274590309,Bjs Boy'S Hostel,18.590255,73.998657,hotel,hostel,"Bakori Road, Pune, 412207",N/A,,accommodation|stay|lodging,openstreetmap,1274590309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_1274589202,Bjs Girl'S Hostel,18.591138,74.00037,hotel,hostel,"Bakori Road, Pune, 412207",N/A,,accommodation|stay|lodging,openstreetmap,1274589202,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_10297944218,Boys Hostel - No 9,18.558536,73.822939,hotel,hostel,"9, IUCAA rd",N/A,,accommodation|stay|lodging,openstreetmap,10297944218,N/A,N/A,N/A,N/A,"New Boys Hostel No. 9 SPPU, Pune",N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_3679801299,Chandan Heights,18.44574,73.821479,hotel,apartment,N/A,N/A,,accommodation|stay|lodging,openstreetmap,3679801299,N/A,N/A,N/A,N/A,Prop. Chandanshiv / Bhadawale,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_3691604461,Chandrakant Residency A,18.454942,73.825014,hotel,apartment,Survey No. 54/10/1,N/A,,accommodation|stay|lodging,openstreetmap,3691604461,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_3746859309,Chandrat,18.506516,73.818248,hotel,apartment,N/A,N/A,,accommodation|stay|lodging,openstreetmap,3746859309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_11473008553,Cherryberry Pg Services,18.564815,73.804151,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,11473008553,N/A,+91 703 824 9914,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_360267917,City Point Restaurant And Bar,18.456519,73.799174,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,360267917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_10005969818,D Building,18.554431,73.759253,hotel,apartment,"Sus Road, 411021",N/A,,accommodation|stay|lodging,openstreetmap,10005969818,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_158333562,Deccan Pavilion,18.459413,73.824987,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,158333562,http://www.deccanpavilion.com/,02066834567,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_5275505626,Devarshi Complex,18.450504,73.824007,hotel,apartment,Manaji Nagar,N/A,,accommodation|stay|lodging,openstreetmap,5275505626,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_3740999841,Dnyaneshwari Niwas,18.448579,73.833007,hotel,apartment,N/A,N/A,,accommodation|stay|lodging,openstreetmap,3740999841,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_758720274,Dosa King,18.612588,73.762847,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,758720274,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_4314437394,Drdo Diat Guest House,18.429492,73.769293,hotel,guest_house,N/A,N/A,,accommodation|stay|lodging,openstreetmap,4314437394,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_11040453306,Dreamcity,18.590388,73.952312,hotel,apartment,N/A,N/A,,accommodation|stay|lodging,openstreetmap,11040453306,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_1111285599,Executive Training Centre And Hostel - Club House,18.506929,73.770037,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,1111285599,https://cdsaindia.org/etch,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_5393269221,Fabhotel Gharonda,18.632756,73.803827,hotel,hotel,Pimpri Chowk,N/A,,accommodation|stay|lodging,openstreetmap,5393269221,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_12861335429,Fabhotels Fabexpress The Corporate Hub,18.567362,73.775277,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,12861335429,https://www.fabhotels.com/hotels-in-pune/fabexpress-the-corporate-hub-giyeqqqp.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
