place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_10250091307,#Becrazystaycheesy,18.553195,73.808305,restaurant,restaurant,N/A,N/A,,food|dining|eat_out,openstreetmap,10250091307,N/A,N/A,N/A,pizza,N/A,N/A,N/A,N/A,False,False,budget,Restaurant / Eatery
OPE_11292638601,#Masala,18.458233,73.807849,restaurant,restaurant,"Sinhagad Road, Pune, 411041",N/A,,food|dining|eat_out,openstreetmap,11292638601,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Restaurant / Eatery
OPE_671446340,11 East Street Cafe,18.519942,73.880446,restaurant,restaurant,"Virwani Plaza 11, East Street, Pune, 411001",N/A,,food|dining|eat_out,openstreetmap,671446340,N/A,+91 20 41045500,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Restaurant / Eatery
OPE_6116153831,1Bhk Superbar,18.567633,73.77151,restaurant,restaurant,N/A,N/A,,food|dining|eat_out,openstreetmap,6116153831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Restaurant / Eatery
OPE_10259329898,2.0 Culture,18.571122,73.774216,restaurant,restaurant,N/A,N/A,,food|dining|eat_out,openstreetmap,10259329898,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Restaurant / Eatery
OPE_10871066103,A Taste Of Indore,18.594593,73.789069,restaurant,fast_food,N/A,N/A,,food|dining|eat_out,openstreetmap,10871066103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Restaurant / Eatery
OPE_13380912461,A- One Star Caterers,18.588614,73.862457,restaurant,restaurant,Pune,N/A,,food|dining|eat_out,openstreetmap,13380912461,N/A,N/A,N/A,indian,N/A,N/A,N/A,N/A,False,False,budget,Restaurant / Eatery
OPE_352445309,Aaina Restaurant,18.473175,73.889581,restaurant,restaurant,"Kondhwa Road, Pune, 411048",N/A,,food|dining|eat_out,openstreetmap,352445309,N/A,N/A,N/A,kebab;chicken,N/A,N/A,N/A,N/A,False,False,budget,Restaurant / Eatery
OPE_6201762552,Aakash,18.523998,73.841383,restaurant,restaurant,N/A,N/A,,food|dining|eat_out,openstreetmap,6201762552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Restaurant / Eatery
OPE_5554773712,Aalok,18.525393,73.853265,restaurant,restaurant,N/A,N/A,,food|dining|eat_out,openstreetmap,5554773712,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Restaurant / Eatery
