place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_10115879742,3 Star Mens Wear,18.447246,73.808928,shopping,clothes,"DSK Vishwa Road, Pune, 411041",N/A,,shopping|retail|market,openstreetmap,10115879742,N/A,09307353787,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_3687275467,53 Bt Kawde Rd.,18.518097,73.907398,shopping,supermarket,N/A,N/A,,shopping|retail|market,openstreetmap,3687275467,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_783224326,93 Avenue,18.505528,73.90662,shopping,mall,N/A,N/A,,shopping|retail|market,openstreetmap,783224326,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_359939181,9Options,18.50596,73.927452,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,359939181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_6357902239,Aaimata Super Shopee,18.460096,73.826686,shopping,supermarket,N/A,N/A,,shopping|retail|market,openstreetmap,6357902239,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_10222864310,Aarya Garments And Distribution Co,18.443428,73.785786,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,10222864310,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_10799615806,Aashna Fashions,18.545038,73.779747,shopping,clothes,Pashan-Sus Road,N/A,,shopping|retail|market,openstreetmap,10799615806,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_289375517,Aditya Shagun Mall,18.519274,73.778516,shopping,mall,N/A,N/A,,shopping|retail|market,openstreetmap,289375517,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_5713386321,Agraj Food Products,18.548199,73.793319,shopping,supermarket,N/A,N/A,,shopping|retail|market,openstreetmap,5713386321,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_6131097715,Akshar,18.560419,73.808602,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,6131097715,N/A,N/A,Mo-Su 10:00-20:30,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_5832438788,All For Small,18.517105,73.841534,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,5832438788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_6111212664,Allen Solly,18.565516,73.806588,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,6111212664,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_3837531761,Allen Solly,18.518354,73.844178,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,3837531761,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_10567046710,Allen Solly,18.556655,73.937558,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,10567046710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_10266706067,Allen Solly,18.596893,73.802062,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,10266706067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_11245293909,Allen Solly,18.591057,73.74328,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,11245293909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_10598350043,Aman Jewellers,18.470609,73.889196,shopping,jewelry,N/A,N/A,,shopping|retail|market,openstreetmap,10598350043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_224711846,Amanora Mall,18.518641,73.935231,shopping,mall,411028,N/A,,shopping|retail|market,openstreetmap,224711846,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_224711847,Amanora Town Centre,18.518653,73.935116,shopping,mall,"Mundhwa Road, Pune, 411028",N/A,,shopping|retail|market,openstreetmap,224711847,https://amanora.com/towncentre,020-67267888,N/A,N/A,N/A,yes,N/A,N/A,False,False,budget,Shopping
OPE_5839779151,Amante,18.490991,73.822596,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,5839779151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_4730247391,Amar Matching,18.518504,73.856689,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,4730247391,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_11061383058,Angelic Designer,18.566819,73.807611,shopping,clothes,N/A,N/A,,shopping|retail|market,openstreetmap,11061383058,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_2973472801,Aundh Market,18.565648,73.811925,shopping,marketplace,N/A,N/A,,shopping|retail|market,openstreetmap,2973472801,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_10219140977,Bajartal Area,18.576229,73.981669,shopping,marketplace,"156, Maharashtra, Wagholi",N/A,,shopping|retail|market,openstreetmap,10219140977,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_9120636939,Balaji,18.481936,73.898931,shopping,supermarket,"Shop No 11-12 Picasso Kedari Arcade, Salunkhe Vihar Road, Pune, 411040",N/A,,shopping|retail|market,openstreetmap,9120636939,N/A,N/A,Mo-Su 09:00-21:00,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_6367603829,Balaji Market,18.460676,73.825768,shopping,supermarket,N/A,N/A,,shopping|retail|market,openstreetmap,6367603829,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_13619945427,Balaji Super Market,18.448017,73.810299,shopping,supermarket,"Dhayari Road, Pune, 411041",N/A,,shopping|retail|market,openstreetmap,13619945427,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_13629200601,Balaji Super Market,18.508491,73.95841,shopping,supermarket,N/A,N/A,,shopping|retail|market,openstreetmap,13629200601,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_11292633360,Balaji Traders,18.442972,73.780655,shopping,supermarket,"Sinhagad Road, Pune, 411024",N/A,,shopping|retail|market,openstreetmap,11292633360,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_13629462842,Balaji Traders,18.500204,73.951168,shopping,supermarket,N/A,N/A,,shopping|retail|market,openstreetmap,13629462842,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_9128882551,Bangtan Store,18.523413,73.864668,shopping,supermarket,N/A,N/A,,shopping|retail|market,openstreetmap,9128882551,N/A,N/A,Mo-Su 10:00-22:00,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_1098751703,Bawdhan Market Yard,18.51054,73.766273,shopping,marketplace,N/A,N/A,,shopping|retail|market,openstreetmap,1098751703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_10222864315,Bhagyalakshmi Super Market,18.443652,73.785698,shopping,supermarket,"Kolhewadi Road, Pune, 411024",N/A,,shopping|retail|market,openstreetmap,10222864315,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
OPE_8218459344,Bhagyalaxmi Store,18.515033,73.817071,shopping,supermarket,N/A,N/A,,shopping|retail|market,openstreetmap,8218459344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Shopping
