place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_359962272,100 Ncl Innovation Park,18.538929,73.806088,tourist_attraction,park,"100 NCL Innovation Park,, Dr. Homi Bhabha Road, Pune, 411008",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,359962272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_53371442,3,18.525657,73.895982,tourist_attraction,garden,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,53371442,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_6232524005,360 Degree Adventure,18.528247,73.745426,tourist_attraction,park,"Off Mumbai - Bangalore Highway, Near Oxford Golf Resort, Near Nyati Equatorial Bawdhan, Pune, 411021",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,6232524005,https://www.360degreeadventure.com/,+91 77963 60360,24/7,N/A,"Adventure Park with camping and many adventure activities like rappelling, mountain biking, zorbing, archery etc. . Includes a amazing Dog park, with a dog pool, a jungle gym and agility tracks.",N/A,N/A,N/A,False,True,budget,Tourist Attraction
OPE_737078821,Aashirwaad Park,18.475505,73.917924,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,737078821,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_25956269,Abc Farms,18.539259,73.905196,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,25956269,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_290528071,Adambag Masjid,18.504617,73.853356,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,290528071,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_217295654,Adhyapak Ground,18.483612,73.851013,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,217295654,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_87218843,Aditi Garden,18.514892,73.926317,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,87218843,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_215998826,Aga Khan Palace,18.552485,73.901537,tourist_attraction,attraction,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,215998826,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,False,False,budget,Tourist Attraction
OPE_215998839,Aga Khan Palace,18.55236,73.901448,tourist_attraction,castle,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,215998839,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Category:Aga Khan Palace,False,False,budget,Tourist Attraction
OPE_359957548,Ahele-Sunnat-Wal-Jamat Masjid,18.536563,73.787581,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,359957548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_10172982143,Alice Garden,18.552843,73.824584,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,10172982143,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_995110742,Alice Garden,18.55258,73.827304,tourist_attraction,garden,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,995110742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_469810388,Amanora,18.517767,73.943675,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,469810388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_256431160,Amanora Bowl,18.518591,73.939879,tourist_attraction,garden,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,256431160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_831244668,Amanora Victory Park,18.52299,73.9483,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,831244668,N/A,N/A,N/A,N/A,Beautiful park,N/A,N/A,N/A,False,False,budget,Tourist Attraction
