place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_7944597695,Agriculture College,18.533006,73.841487,transport,station,N/A,N/A,,transport|transit|commute,openstreetmap,7944597695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_2432308802,Akurdi,18.648636,73.764716,transport,station,"ganga nagar road, pradhikaran, nigdi, pimpri chinhwad, 411044",N/A,,transport|transit|commute,openstreetmap,2432308802,N/A,N/A,N/A,N/A,"Akurdi Railway Station, pradhikaran,nigdi,pune",N/A,N/A,N/A,False,False,,Transport Hub
OPE_13644823988,Akurdi Railway Station,18.64822,73.764899,transport,station,N/A,N/A,,transport|transit|commute,openstreetmap,13644823988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_9572608815,Anandnagar,18.509703,73.813999,transport,subway_entrance,N/A,N/A,,transport|transit|commute,openstreetmap,9572608815,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_9572650866,Anandnagar,18.509427,73.814017,transport,subway_entrance,N/A,N/A,,transport|transit|commute,openstreetmap,9572650866,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_9572650895,Anandnagar,18.509572,73.814821,transport,subway_entrance,N/A,N/A,,transport|transit|commute,openstreetmap,9572650895,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_9599243854,Anandnagar,18.509572,73.814075,transport,station,N/A,N/A,,transport|transit|commute,openstreetmap,9599243854,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_10235274256,Atlas Copco,18.596463,73.828836,transport,bus_station,N/A,N/A,,transport|transit|commute,openstreetmap,10235274256,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_451546311,Auto (Tum-Tum) Stand,18.500192,73.944354,transport,taxi,N/A,N/A,,transport|transit|commute,openstreetmap,451546311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_13647113367,Balewadi Phata,18.564186,73.779766,transport,station,N/A,N/A,,transport|transit|commute,openstreetmap,13647113367,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_7944584964,Balewadi Stadium,18.579709,73.761542,transport,station,N/A,N/A,,transport|transit|commute,openstreetmap,7944584964,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_13647113365,Baner,18.554964,73.797938,transport,station,N/A,N/A,,transport|transit|commute,openstreetmap,13647113365,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_13647113366,Baner Gaon,18.559196,73.790598,transport,station,N/A,N/A,,transport|transit|commute,openstreetmap,13647113366,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_1411428449,Bhekrai Nagar Pmt Depot,18.484424,73.952967,transport,bus_station,N/A,N/A,,transport|transit|commute,openstreetmap,1411428449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_477473046,Bhekrainagar Depot,18.484417,73.953035,transport,bus_station,N/A,N/A,,transport|transit|commute,openstreetmap,477473046,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_979384588,Bhekrainagar Depot,18.484276,73.953236,transport,bus_station,N/A,N/A,,transport|transit|commute,openstreetmap,979384588,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_979384589,Bhekrainagar Pmpml Bus Depot Road,18.484219,73.952944,transport,bus_station,N/A,N/A,,transport|transit|commute,openstreetmap,979384589,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Transport Hub
OPE_823056420,Bhosari Sadgurunagar Depot,18.632172,73.849452,transport,bus_station,N/A,N/A,,transport|transit|commute,openstreetmap,823056420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Category:Pune Mahanagar Parivahan Mahamandal Limited,False,False,,Transport Hub
