place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_6906524648,Akshay Blood Bank,18.499071,73.941253,bank_atm,blood_bank,"Pune, 411028",N/A,,finance|money|banking,openstreetmap,6906524648,N/A,02026993247 02026993248,24/7,N/A,N/A,N/A,N/A,N/A,False,True,,Bank / ATM
OPE_6130922026,Allahabad Bank,18.563649,73.802818,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,6130922026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_6201762554,Allahabad Bank,18.522479,73.841207,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,6201762554,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_2801208405,Andhra Bank,18.5235,73.846842,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,2801208405,https://www.andhrabank.in,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_4930450602,Andra Bank,18.566128,73.816572,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,4930450602,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_6897390630,Armed Forces Blood Bank,18.50394,73.890178,bank_atm,blood_bank,"Pune, 411040",N/A,,finance|money|banking,openstreetmap,6897390630,N/A,02026026038 02026306337,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_11258989071,Atm,18.577454,73.893091,bank_atm,bank,"Street Name, Lane No 10, Pune, 411032",N/A,,finance|money|banking,openstreetmap,11258989071,N/A,N/A,24/7,N/A,N/A,N/A,N/A,N/A,False,True,,Bank / ATM
OPE_3750410210,Axis Bank,18.47798,73.824048,bank_atm,atm,N/A,N/A,,finance|money|banking,openstreetmap,3750410210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_5331643520,Axis Bank,18.46279,73.890147,bank_atm,atm,N/A,N/A,,finance|money|banking,openstreetmap,5331643520,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_784995223,Axis Bank,18.45016,73.901472,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,784995223,https://www.axisbank.com,N/A,24/7,N/A,N/A,no,N/A,N/A,False,True,,Bank / ATM
OPE_1883112979,Axis Bank,18.504928,73.818011,bank_atm,bank,Mayur Colony,N/A,,finance|money|banking,openstreetmap,1883112979,https://www.axisbank.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_2973189047,Axis Bank,18.556646,73.794556,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,2973189047,https://www.axisbank.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_3506853565,Axis Bank,18.490051,73.831797,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,3506853565,https://www.axisbank.com,02024251973,Mo-Fr 09:30-15:30; Sa 09:30-13:30,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_3657496167,Axis Bank,18.520059,73.77865,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,3657496167,https://www.axisbank.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_3657496169,Axis Bank,18.538369,73.82989,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,3657496169,https://www.axisbank.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_4359560190,Axis Bank,18.494804,73.825978,bank_atm,bank,411052,N/A,,finance|money|banking,openstreetmap,4359560190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_5149099147,Axis Bank,18.540977,73.829934,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,5149099147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_5713386200,Axis Bank,18.543811,73.785269,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,5713386200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_6113341875,Axis Bank,18.508098,73.796356,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,6113341875,https://www.axisbank.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_6130922014,Axis Bank,18.557517,73.804448,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,6130922014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_6130922015,Axis Bank,18.557601,73.8044,bank_atm,atm,N/A,N/A,,finance|money|banking,openstreetmap,6130922015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_10799668305,Axis Bank,18.544571,73.781774,bank_atm,bank,Pashan-Sus Road,N/A,,finance|money|banking,openstreetmap,10799668305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_13622256823,Axis Bank,18.511936,73.774913,bank_atm,bank,"Lane 2, Bavdhan, Pune, 411021",N/A,,finance|money|banking,openstreetmap,13622256823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_359955267,Axis Bank,18.491365,73.8215,bank_atm,bank,N/A,N/A,,finance|money|banking,openstreetmap,359955267,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_1911011471,Axis Bank,18.513774,73.861734,bank_atm,atm,N/A,N/A,,finance|money|banking,openstreetmap,1911011471,N/A,N/A,N/A,N/A,N/A,N/A,no,N/A,True,False,,Bank / ATM
OPE_1911012777,Axis Bank,18.515268,73.865917,bank_atm,atm,N/A,N/A,,finance|money|banking,openstreetmap,1911012777,N/A,N/A,N/A,N/A,N/A,N/A,no,N/A,True,False,,Bank / ATM
OPE_2428952229,Axis Bank,18.530024,73.83652,bank_atm,atm,N/A,N/A,,finance|money|banking,openstreetmap,2428952229,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_2428955600,Axis Bank,18.533908,73.833708,bank_atm,atm,N/A,N/A,,finance|money|banking,openstreetmap,2428955600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_4677974490,Axis Bank,18.516442,73.850014,bank_atm,atm,N/A,N/A,,finance|money|banking,openstreetmap,4677974490,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_5122330523,Axis Bank,18.515786,73.853848,bank_atm,atm,N/A,N/A,,finance|money|banking,openstreetmap,5122330523,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_5554773708,Axis Bank,18.532271,73.849237,bank_atm,atm,N/A,N/A,,finance|money|banking,openstreetmap,5554773708,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
OPE_5918828049,Axis Bank,18.524073,73.906149,bank_atm,bank,"Bhagwan Tatyasaheb Kawade Marg, Pune, 411001",N/A,,finance|money|banking,openstreetmap,5918828049,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,,Bank / ATM
